"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"36",37,0,0,0,0,0,1.53695975156974,0.01,1.47260399519548,17.600158250181,1.47260543850355,28.456951422729,1.59991433453191
"37",38,0,0,0,0,0,1.95994995531791,0.01,2.13117394284995,0.105086533518984,3.77241213260874,0.000101186174926212,22.6954715874484
"38",39,0,0,0,0,0,0.206769168233695,0.01,0.238396566491717,0.0198052218366313,0.206769665583917,0,0.01
"39",40,0,0,0,0,0,0.224711097993244,0.01,0.2149242810723,1.54470898892694,0.208177309464983,0.000804492061282873,0.0872833949942152
"40",41,0,0,0,0,0,0.0130295110347953,0.199692239835999,0.016371893033942,9.12267683768812,0.0163702716450577,0.631793272670618,0.107197150482994
"41",43,0,0,0,0,0,0.0330592106712414,1.67155170705422,0.0220139375396438,8713.40468345106,0.0219586457175414,1.06445073179618,0.01
"42",44,0,0,0,0,0,0.00872487597155437,0.01,0.00780825513311578,0.000511288666094824,0.0078761623625206,0.000307789971677647,0.900640999993268
"43",45,0,0,0,0,0,0.259055903272157,0.963127752727293,0.187853865292126,3826.49615567395,0.187866593851606,12418.5205290449,0.01
"44",46,0,0,0,0,0,1.04058487806315,0.01,1.00733169452635,1.60805828579514,1.00611916936053,0.000407353598156062,0.0783608404938036
"45",47,0,0,0,0,0,0.511604905113312,1.811285825583,0.421303299981818,1373.75889004405,0.421365785257983,1382.64526778932,0.01
"46",48,0,0,0,0,0,0.0218534190633387,0.10617211279569,0.0200788706982331,0.00396566537476703,0.0208770330040136,0.00141148131361471,0.818316888022077
"47",49,0,0,0,0,0,0.282013236306161,0.140148416174232,0.308114765849941,0.0047268182401353,0.28201049350406,0,0.14012169400122
"48",51,0,0,0,0,0,0.284652422024507,1.26811329504807,0.303777178060619,3883.10574589033,0.303797348009061,5775.59391771818,0.01
"49",53,0,0,0,0,0,0.0955465431728979,0.01,0.0867521046763089,1.74539789326688,0.084600808051457,0.00104241450048828,0.079295779905103
"50",54,0,0,0,0,0,0.604594951713453,2.86455089663976,0.53590625902402,0,0.604595120571192,0,2.86454705362835
"51",55,0,0,0,0,0,0.120541274746279,1.79336218856821,0.131916771807148,0,0.120540028995666,0.0129105165079688,1.84484409484268
"52",56,0,0,0,0,0,0.00797434336902653,0.951865193080947,0.00830666060032062,5815.40765786963,0.00817083813109766,1.12909044662115,0.0528379114012927
"53",57,0,0,0,0,0,0.00257990695168212,0.148130043262939,0.00308378278392591,0.00148485521032296,0.00350053084783904,3.8830355248479e-08,0.373054277769146
"54",58,0,0,0,0,0,0,0.408847213560154,0,0,0,0,0.588420579008207
"55",59,0,0,0,0,0,0.232273267028212,0.01,0.247562999874514,0.0167734207107879,0.232275030562632,0,0.01
"56",60,0,0,0,0,0,0.37513868164748,0.01,0.389349693422879,0.145543654746744,0.381226339797677,0.00101922847580377,0.349145859441471
"57",62,0,0,0,0,0,0.66060611569344,0.01,0.694616003638874,0.0210728216752722,0.66060611790392,0,0.01
"58",63,0,0,0,0,0,0.150337247961195,2.17133410712751,0.172104370698876,0,0.150338296203766,0,2.17130498428149
