"","V1","V2","V3","V4","V5"
"72",77,0.132046621866428,0.162676821400289,0.13158038059009,0.0122991718501285
"73",78,2.56042571876733,2.64696108987198,2.55075406560438,0.0323452745744383
"74",81,9999805122.27503,9999809605.4652,940678.057645401,78839.6141269487
"75",82,0.153178199707181,0.0756519698652552,0.104983678233117,2591.14954135281
"76",83,0.108551588741066,0.0517268441496132,0.0792544301262804,0.610750725997286
"77",84,0.327351800285122,0.401025233171408,0.327338177643512,0.00134473668169265
"78",85,9999970075.98734,9996152281.95122,349723.214864203,84503.0960859047
"79",86,0.302745549011135,0.349974334187401,0.302748874888655,0
"80",87,0.363907139495748,0.399588799517121,0.366226545267139,0.110684034666081
"81",88,5.8811045049607e-05,5.8811045049607e-05,0,9.26988928495256
"82",89,0.743042409822871,0.716730443290435,0.730047205310912,0.288469476098253
