"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"14",16,8.53075111139355,64.3768981821636,0.00914772021641669,19.1792813201853,-10,2.17898072765378,10,2.17895382975762,0,10
"15",17,0.682434338545807,0.0257578827519739,-0.155395242813378,0.000670454044614841,-10,0.00107707175021386,-1.31743361648447,0,-3.46944695195361e-18,0.189927037791067
"16",18,9999503950.4706,9999049414.76458,0.0206968428413241,198797.103312156,10,611740.774312588,10,2635.17805371038,2877.73259644662,-10
"17",19,9999465775.18521,9999138462.97734,0.0893799122658664,1.11339705523318,10,904921.068616834,10,2842.9820589638,2729.76841456751,-10
"18",20,9999464487.52989,9996784050.03742,0.033084265988909,3.78454180576366,10,0.782662517713365,10,2989.30986087171,2045.32199228052,-10
"19",21,1.12595549891871,0.0502123177398745,-0.138012790084483,0.000506975339818435,0.0937663015027349,0,-0.138016915559034,0,0.000994636172543127,-10
"20",23,9991162369.70808,9984463878.24487,0.00387942936367472,6.82983279125023,10,155959.324941638,-9.99999999999889,603.98247048595,889.899265972363,-10
"21",24,3.92619523474126,0.0872140182624785,-0.149791215506808,0,-0.149789996035596,0.00250826632906289,-1.48340373719695,0.00207745721579571,0,-1.43711442287733
"22",25,1.30169936550288,0.0460661200477729,-0.236213931137855,0,-0.236215785732809,0.00134117800360688,-2.05697046842232,0,0.000879440672130357,-10
"23",26,1.24684756744109,0.0452852536165651,-5.2785879657344,0,-10,-2.77555756156289e-17,-7.2422312968416,0,0,-10
"24",27,9999080462.88053,9999227097.97848,0.0827588086907075,2.68846831494317,10,0.338580797975104,10,0.338579913925285,0,10
"25",28,9998166761.82355,9999459081.54976,0.0584746461482644,3.64487203672331,10,1050767.64341962,0.908832127624562,2319.5344982882,2872.86257297894,-10
"26",29,0.260647142299591,0.00422597254574955,-0.12794100194545,0.00034721432940951,0.13532450500109,0.00125783298965349,-1.10642982579346,0,0.00413114656268606,0.959120524933018
"27",30,0.620130337520664,0.0167807870342413,-0.51510563381044,0.000875069968918519,-10,0.00297219298678576,-5.51268211324375,0,0.0161263488053486,0.923081593399389
"28",31,9999078900.59536,9999157139.55809,0.0454019700535448,3.54867325090585,10,1214662.3113693,-10,2068.35842599055,3664.65247615909,-10
"29",32,0.0163002104907171,5.8811045049607e-05,0.0546564239448844,0.000697098348486324,0.233848453315818,0.0019921947756396,0.525278042229818,0.000725256857892577,0.0118167000180101,0.718923989609116
