"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"16",18,9999493481.16762,9998778556.07317,0.00276542918255352,117647.951740895,10,827526.333532809,-10,2044.67570303445,2547.69800346651,-10
"17",19,9998829654.23636,9999674872.49551,0.117575345238397,2.15496448803663,10,0.242833864462524,10,2793.4725007598,3212.44228454112,-10
"18",20,9999262868.07302,9998847669.49852,0.0277020334313668,2.98077716487249,10,0.901649657948856,10,1909.15481418932,2117.0619006432,-10
"19",21,0.63805646037508,0.0253877791337647,-0.203211065672055,0.000666325588946782,-10,0,-0.20321136324996,0,0.0245388170042209,0.93263516385082
"20",23,6.41106417209732,10.0165805419516,0.00600492232171645,8.14164386271835,-10,6.3323583671487,-10,0.00053847337159115,1.16667771703257,-1.03814949456137
"21",24,0.613612636962015,0.0289628079378275,-0.209631617730838,0.000452052757662922,-10,0,-0.209649875794641,0,0.0283020834090103,0.910754786717154
"22",25,0.871210221536642,0.0420913664410306,-0.0794486875684031,0.000928115889703341,-10,0.00193554031750543,-0.729349139010322,0,0,-0.0794475512366178
"23",26,0.801105730472867,0.0324322806523204,-0.211654390151138,0.000443388805893501,-10,0.000650768997789057,-1.58556990741867,0,0.0310001894653887,0.915541132926914
"24",27,9999567025.89413,9999131047.72589,0.0874030566819163,1.39451057933684,10,0.333957450792071,10,4122.62668424205,3339.94147097959,-10
"25",28,9996325010.63308,9999256877.95779,0.0438883441396763,4.0051022380251,10,0.635799069871108,10,2169.39799197815,3565.5694419025,10
"26",29,0.226002223441961,0.00482218057580019,-0.164088549165841,0.000989998511381698,-10,0,-0.164092764575262,0,0.00439758380769212,0.924471605051121
"27",30,0.58341918405897,0.0173649627806607,-0.57175818583399,0.000765470620336598,0.0794737943892792,0,-0.571758553952595,0,0.0158735152882324,0.883128847480687
"28",31,9997735488.00408,9999138973.88091,0.0650384899421038,2.28519331340227,10,217121312.394959,10,7218.46430567001,6751.04823949043,10
