"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"20",23,0.771220553812025,0.675144740475031,0.00843307541473019,0.472546531450552,2.17612304245735,0.703387548505641,0.342497761207859,0.703374768519814,0,0.342430103418201
"21",24,0.356232210217742,0.0137309422239301,-7.10794972039112,0,-10,0,-10,0,0.0134378931821131,0.97568294677107
"22",25,0.402458163422077,0.0351035696807961,-0.0137175274719571,0.0837009740715835,-10,0,-0.0137201395215752,0,-2.77555756156289e-17,-0.603600465179831
"23",26,0.650462769106203,0.0243164076360033,-0.185093866796848,0.000667298178333217,-10,0.000566363912664949,-1.26922700893344,0,0.000275500114597128,-10
"24",27,9999124220.07,9999169759.0893,0.0978362126850333,0.682114668088471,10,813990.225304223,10,3980.62306572443,4265.33827242405,-10
"25",28,9996635918.05656,9998632489.26933,0.0356656812590921,2.39918367098066,10,0.800984273974747,10,0.106172698329409,21.864465250011,-10
"26",29,0.257976692981979,0.00766526245402587,-0.250205893987128,0.000981489270949128,-10,0.00197903015834662,-2.33107813550816,0,0.00753636269062841,0.975828838739424
"27",30,0.458553638982837,0.0138024944201545,-5.28934708762585,0,-10,0,-10,0,0.0126056003202895,0.861490407012731
"28",31,9996415755.95006,9999681468.61272,0.0714478899622506,2.25379787120769,10,0.40644763549731,10,3444.92999760112,2212.52287136704,-10
"29",32,0.0162618801499102,5.8811045049607e-05,0.0535697185998854,0.000690218762722712,0.224746194332713,0.00246057320752539,0.536496871290137,0.000670783743621642,0.0239601006838175,1.01906856458988
"30",33,9998537561.34011,9999577639.09858,0.0675384325667857,0.924018026862232,10,830534.709403554,-10,3388.03076905202,3597.30789554838,-10
"31",34,9994072734.2907,9997331296.63955,-0.00597896215848809,0.521157614636286,10,199770.502332205,-10,1298.16214231539,1931.36394954609,-10
"32",35,0.208128679328232,0.00205336719193384,-7.10849903308833,0,-10,0,-10,0,0.00193865575723443,0.880614646806926
"33",36,0.162282013256774,5.8811045049607e-05,-7.10806218827027,0.000647820594612379,0.121113036166173,0,-2.82971521754279,0,0.000552438347004107,0.938249072765535
"34",37,9996645924.70229,9998682822.82996,0.0320040748150559,0.758585559193511,10,0.854960948067553,10,1798.30904929243,2007.99554503774,-10
"35",38,9999063347.76584,9999315545.50573,0.159961283681805,1.77950405982019,10,0.154932664036929,10,0.154932191550505,0,10
"36",39,9994889478.96458,9995434963.6088,0.0106280083430072,6.95807589169347,10,1382788.83852625,-10,1064.0595796856,1020.60253122179,-10
"37",40,9998568536.93168,9999045021.03718,0.0548982874306898,1.2104456173287,10,548456.695452345,10,0.00082770171125209,9.37635294374978,-9.99685801609234
"38",42,0.677371257583431,0.0164431903178478,-7.10830179183105,0,-10,0,-10,0,0.016334712622142,0.926466579393917
"39",43,0.463548429299678,0.00801747679834874,-0.171946458706911,0.000348968135110527,0.124650774035329,0,-0.171940670099785,0.0099168689004314,0,-2.52735735945605
"40",44,9994077166.42911,9985399235.2496,0.00739501253503515,0.397239895188663,7.67206055498427,744388.157215617,-10,744.630720973959,1427.32100523402,-10
"41",45,1.79318702858014,0.0789079187843962,-0.0754244692694449,0,-0.0754366273605905,0.00450528569901565,-0.873136390590935,0,0.000574373988737623,-9.99197101735622
"42",46,9999062002.80166,9999577415.66001,0.519843230548239,12.9768149379653,10,844013.916778226,10,2671.35525858711,2450.56436353094,-10
"43",47,0.112786439463442,0.0018261658342722,-0.476853400133005,0.000606891453345006,0.123745831502873,0,-0.476859961656091,0,0.0018268424108923,0.989509859303794
"44",49,0.853215548831679,0.0212475233735225,-7.10903034875318,0.000966485626272965,0.132639913443844,0,-10,0,0.0189658730394576,0.897592283113953
"45",50,6.42371288865204,0.10568518172513,-0.167251238043249,0.0231965613682949,3.44532607413265,0.139899928768141,-10,0.139904121719801,0,-10
"46",51,9982884184.04318,9991150041.72164,0.125198972820362,3.79675852903753,10,0.00196730419093476,1.17531608143367,0.0039525951512904,0,1.39213342339859
"47",52,0.736453984876835,0.513768982034247,-0.0085897319280195,0.253092545744437,3.0836104020138,0.465106527047147,-1.50506792487283,0.000569314479910768,0.268432117296263,-0.581116853953078
"48",53,9999652939.99387,9999493956.64857,0.168674398350197,2.09597962552014,10,887367.041302888,10,2149.20366353768,2359.56365292602,-10
"49",54,0.0803155476436752,0.00149492780449493,-0.33720854977736,0.000598014507749082,0.140902594964787,0,-0.33722825056671,0,0.00161979063799997,1.0206679468812
"50",55,0.185442054781485,0.00485495803282189,-0.276347384186737,0.00070471737958805,-10,0.00116907080256914,-2.39235115040771,0,0.00470688342705218,0.957952293832575
"51",56,0.318778194334072,0.00795427045866737,-0.532999622832315,0.000348322921967719,0.134977996745835,0.00204507551050111,-5.08056174659427,0,0.00757322730477611,0.966417095563354
"52",57,9999465357.04331,9999493594.91071,0.369314360350503,4.33889519915833,10,0.0574707487260809,10,0.00169682132646754,0,3.23987519767077
